# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 6.401999999999999913e-01 9.385999999999999233e+00 1.000000000000000048e-04
1.199999999999999895e-03 6.401999999999999913e-01 9.920999999999999375e+00 1.000000000000000048e-04
1.300000000000000157e-03 6.663000000000000034e-01 1.043999999999999950e+01 1.000000000000000048e-04
1.399999999999999986e-03 6.915000000000000036e-01 1.093999999999999950e+01 1.000000000000000048e-04
1.500000000000000031e-03 7.157000000000000028e-01 1.142999999999999972e+01 1.000000000000000048e-04
1.600000000000000077e-03 7.391999999999999682e-01 1.190000000000000036e+01 1.000000000000000048e-04
1.699999999999999905e-03 7.620000000000000107e-01 1.235999999999999943e+01 1.000000000000000048e-04
1.800000000000000168e-03 7.841000000000000192e-01 1.281000000000000050e+01 1.000000000000000048e-04
2.000000000000000042e-03 8.265000000000000124e-01 1.367999999999999972e+01 1.000000000000000048e-04
2.250000000000000264e-03 8.766000000000000458e-01 1.471000000000000085e+01 2.000000000000000096e-04
2.499990000000000111e-03 9.240000000000000435e-01 1.569999999999999929e+01 2.000000000000000096e-04
2.749989999999999900e-03 9.690999999999999615e-01 1.664000000000000057e+01 2.000000000000000096e-04
2.999990000000000122e-03 1.012000000000000011e+00 1.755000000000000071e+01 2.000000000000000096e-04
3.249989999999999910e-03 1.054000000000000048e+00 1.842000000000000171e+01 2.000000000000000096e-04
3.499990000000000132e-03 1.092999999999999972e+00 1.926000000000000156e+01 2.000000000000000096e-04
3.749989999999999921e-03 1.131999999999999895e+00 2.007999999999999829e+01 2.000000000000000096e-04
3.999990000000000143e-03 1.169000000000000039e+00 2.087000000000000099e+01 2.000000000000000096e-04
4.499990000000000587e-03 1.239999999999999991e+00 2.239000000000000057e+01 2.000000000000000096e-04
4.999990000000000163e-03 1.306999999999999940e+00 2.382999999999999829e+01 2.000000000000000096e-04
5.499990000000000608e-03 1.370999999999999996e+00 2.519999999999999929e+01 2.000000000000000096e-04
5.999990000000000184e-03 1.431000000000000050e+00 2.651999999999999957e+01 2.000000000000000096e-04
6.499990000000000628e-03 1.489999999999999991e+00 2.778000000000000114e+01 2.000000000000000096e-04
6.999990000000000205e-03 1.546000000000000041e+00 2.900000000000000000e+01 2.000000000000000096e-04
7.999990000000000226e-03 1.653000000000000025e+00 3.132000000000000028e+01 3.000000000000000279e-04
8.999990000000001114e-03 1.752999999999999892e+00 3.349000000000000199e+01 3.000000000000000279e-04
9.999990000000000268e-03 1.848000000000000087e+00 3.553999999999999915e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.937999999999999945e+00 3.750000000000000000e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.024000000000000021e+00 3.935999999999999943e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.107000000000000206e+00 4.114000000000000057e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.186999999999999833e+00 4.285000000000000142e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.262999999999999901e+00 4.450000000000000000e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.338000000000000078e+00 4.607999999999999829e+01 3.000000000000000279e-04
1.699990000000000182e-02 2.410000000000000142e+00 4.761999999999999744e+01 4.000000000000000192e-04
1.799989999999999923e-02 2.479000000000000092e+00 4.910999999999999943e+01 4.000000000000000192e-04
1.999990000000000101e-02 2.613999999999999879e+00 5.195000000000000284e+01 4.000000000000000192e-04
2.249989999999999976e-02 2.771999999999999797e+00 5.528000000000000114e+01 4.000000000000000192e-04
2.499990000000000198e-02 2.922000000000000153e+00 5.840999999999999659e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.064999999999999947e+00 6.135999999999999943e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.201000000000000068e+00 6.415999999999999659e+01 5.000000000000000104e-04
3.249989999999999823e-02 3.331999999999999851e+00 6.681999999999999318e+01 5.000000000000000104e-04
3.499990000000000046e-02 3.456999999999999851e+00 6.937000000000000455e+01 5.000000000000000104e-04
3.749989999999999574e-02 3.579000000000000181e+00 7.179999999999999716e+01 5.000000000000000104e-04
3.999989999999999796e-02 3.696000000000000174e+00 7.412999999999999545e+01 5.000000000000000104e-04
4.499989999999999546e-02 3.919999999999999929e+00 7.854000000000000625e+01 5.000000000000000104e-04
4.999989999999999990e-02 4.131999999999999673e+00 8.265000000000000568e+01 6.000000000000000559e-04
5.499989999999999740e-02 4.333999999999999631e+00 8.651000000000000512e+01 6.000000000000000559e-04
5.999989999999999490e-02 4.527000000000000135e+00 9.014000000000000057e+01 6.000000000000000559e-04
6.499989999999999934e-02 4.711999999999999744e+00 9.356999999999999318e+01 6.999999999999999929e-04
6.999990000000000379e-02 4.889999999999999680e+00 9.682999999999999829e+01 6.999999999999999929e-04
7.999989999999999879e-02 5.227000000000000313e+00 1.029000000000000057e+02 6.999999999999999929e-04
8.999989999999999379e-02 5.543999999999999595e+00 1.085000000000000000e+02 8.000000000000000383e-04
9.999990000000000268e-02 5.844000000000000306e+00 1.135999999999999943e+02 8.000000000000000383e-04
1.100000000000000006e-01 6.128999999999999559e+00 1.184000000000000057e+02 9.000000000000000838e-04
1.199999999999999956e-01 6.402000000000000135e+00 1.227999999999999972e+02 9.000000000000000838e-04
1.300000000000000044e-01 6.663000000000000256e+00 1.270000000000000000e+02 9.000000000000000838e-04
1.399989999999999846e-01 6.915000000000000036e+00 1.310000000000000000e+02 1.000000000000000021e-03
1.499989999999999934e-01 7.158000000000000362e+00 1.346999999999999886e+02 1.000000000000000021e-03
1.599990000000000023e-01 7.392000000000000348e+00 1.383000000000000114e+02 1.000000000000000021e-03
1.699990000000000112e-01 7.620000000000000107e+00 1.416999999999999886e+02 1.100000000000000066e-03
1.799989999999999923e-01 7.841000000000000192e+00 1.449000000000000057e+02 1.100000000000000066e-03
1.999990000000000101e-01 8.265000000000000568e+00 1.509000000000000057e+02 1.200000000000000112e-03
2.249990000000000046e-01 8.766000000000000014e+00 1.578000000000000114e+02 1.300000000000000157e-03
2.499989999999999990e-01 9.240999999999999659e+00 1.640999999999999943e+02 1.300000000000000157e-03
2.749990000000000490e-01 9.692000000000000171e+00 1.698000000000000114e+02 1.399999999999999986e-03
2.999990000000000157e-01 1.011999999999999922e+01 1.750999999999999943e+02 1.500000000000000031e-03
3.249990000000000379e-01 1.053999999999999915e+01 1.800000000000000000e+02 1.600000000000000077e-03
3.499990000000000046e-01 1.092999999999999972e+01 1.845999999999999943e+02 1.600000000000000077e-03
3.749990000000000268e-01 1.132000000000000028e+01 1.889000000000000057e+02 1.700000000000000122e-03
3.999990000000000490e-01 1.168999999999999950e+01 1.929000000000000057e+02 1.800000000000000168e-03
4.499990000000000379e-01 1.240000000000000036e+01 2.003000000000000114e+02 1.899999999999999996e-03
4.999990000000000268e-01 1.307000000000000028e+01 2.069000000000000057e+02 2.000000000000000042e-03
5.499990000000000157e-01 1.371000000000000085e+01 2.129000000000000057e+02 2.200000000000000133e-03
5.999990000000000601e-01 1.432000000000000028e+01 2.183000000000000114e+02 2.299999999999999961e-03
