        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.867E-01  5.406E+00       2 A         1 A         1 A   
    1.2 eV    3.867E-01  5.721E+00       2 A         1 A         1 A   
    1.3 eV    4.025E-01  6.026E+00       2 A         1 A         1 A   
    1.4 eV    4.177E-01  6.322E+00       2 A         1 A         1 A   
    1.5 eV    4.323E-01  6.609E+00       2 A         1 A         1 A   
    1.6 eV    4.465E-01  6.889E+00       2 A         2 A         1 A   
    1.7 eV    4.603E-01  7.162E+00       2 A         2 A         1 A   
    1.8 eV    4.736E-01  7.429E+00       2 A         2 A         1 A   
      2 eV    4.992E-01  7.945E+00       2 A         2 A         1 A   
   2.25 eV    5.295E-01  8.561E+00       2 A         2 A         1 A   
2.49999 eV    5.581E-01  9.149E+00       3 A         2 A         1 A   
2.74999 eV    5.854E-01  9.714E+00       3 A         2 A         2 A   
2.99999 eV    6.114E-01  1.026E+01       3 A         2 A         2 A   
3.24999 eV    6.364E-01  1.078E+01       3 A         2 A         2 A   
3.49999 eV    6.604E-01  1.129E+01       3 A         2 A         2 A   
3.74999 eV    6.836E-01  1.178E+01       3 A         2 A         2 A   
3.99999 eV    7.060E-01  1.226E+01       3 A         2 A         2 A   
4.49999 eV    7.488E-01  1.318E+01       3 A         3 A         2 A   
4.99999 eV    7.893E-01  1.405E+01       3 A         3 A         2 A   
5.49999 eV    8.279E-01  1.488E+01       3 A         3 A         2 A   
5.99999 eV    8.647E-01  1.569E+01       4 A         3 A         2 A   
6.49999 eV    9.000E-01  1.646E+01       4 A         3 A         2 A   
6.99999 eV    9.339E-01  1.720E+01       4 A         3 A         2 A   
7.99999 eV    9.984E-01  1.862E+01       4 A         3 A         3 A   
8.99999 eV    1.059E+00  1.996E+01       4 A         3 A         3 A   
9.99999 eV    1.116E+00  2.123E+01       4 A         4 A         3 A   
10.9999 eV    1.171E+00  2.244E+01       4 A         4 A         3 A   
11.9999 eV    1.223E+00  2.360E+01       5 A         4 A         3 A   
